frequency (Hz),Vrms (mV),Vout (mV),Vout/Vin,phi (degrees),Gmeasured
10,2.184,3.08864242,0.006177285,95,-44.18404745
20,4.41,6.23668181,0.012473364,91,-38.08032834
50,11.05,15.62705986,0.03125412,88,-30.10185457
100,22.13,31.29654614,0.062593092,87,-24.06947185
200,43.57,61.61728491,0.12323457,83,-18.18534893
500,105,148.492424,0.296984848,72,-10.54531415
1000,185.9,262.9023012,0.525804602,58,-5.583512335
2000,270.4,382.4033473,0.764806695,40,-2.328966385
5000,333.7,471.9230658,0.943846132,18,-0.501975997
10000,342.2,483.943881,0.967887762,9,-0.283500026
20000,344.5,487.1965722,0.974393144,5,-0.225315605
20,,,,90,
770,,,,67.5,
1700,,,0.707106781,45,
3900,,,,22.5,
100000,,,,0,
