frequency (kHz),Vout(mV),Vmax/Vin
1,1,0.009328358
1.4,1.2,0.01119403
2,1.1,0.010261194
2.7,1.4,0.013059701
3.8,1.9,0.017723881
5.2,2.6,0.024253731
7.3,4.2,0.039179104
8.9,9.6,0.089552239
9.5,18,0.167910448
9.7,24,0.223880597
9.8,28.4,0.264925373
10,44.8,0.417910448
10.15,73.6,0.686567164
10.17,76,0.708955224
10.19,84,0.78358209
10.21,90.4,0.843283582
10.23,93.6,0.873134328
10.25,100,0.932835821
10.27,104,0.970149254
10.29,106.4,0.992537313
10.31,107.2,1
10.33,106.4,0.992537313
10.35,104.8,0.97761194
10.37,101.6,0.947761194
10.39,97.8,0.912313433
10.41,90.4,0.843283582
10.43,85.6,0.798507463
10.45,80,0.746268657
10.47,74.4,0.694029851
10.9,26,0.242537313
11.4,14.8,0.138059701
12,9.6,0.089552239
12.5,7.8,0.072761194
13.1,6,0.055970149
13.7,5,0.046641791
14.4,4.4,0.041044776
19.9,2.8,0.026119403
27.5,1.8,0.016791045
52.4,1.2,0.01119403
72.4,1.3,0.012126866
100,1.1,0.010261194
